Year;Tm;Player;Age;PER;TS%;TRB%;AST%;STL%
1978;POR;Larry Steele;28;13.8;0.519;5.2;10.7;2.4
1978;IND;Ron Behagen;27;13.5;0.46;14.3;8.4;1.3
1978;GSW;Rickey Green;23;9.3;0.41;5.4;17.6;2.4
1978;DEN;Jim Price;28;11.2;0.517;7.5;18.9;2.8
1978;BOS;Charlie Scott;29;12.3;0.469;4.8;19.3;2.1
1978;BUF;Bill Willoughby;20;10.9;0.472;10.9;4.9;1
1978;CLE;John Lambert;25;10.8;0.435;15.3;4.7;1.2
1978;NJN;Eddie Jordan;23;16.6;0.466;5;19.8;4.7
1978;NJN;Bob Carrington;24;8.3;0.444;5.3;7.2;1.8
1978;NYK;Glen Gondrezick;22;10.1;0.44;12.7;9.9;2.4
1978;BOS;Kevin Stacom;26;12;0.452;5.4;16.3;1.3
1978;SEA;Wally Walker;23;12.5;0.469;10.2;10;1.1
1978;DEN;Mack Calvin;30;14;0.551;4.4;20.1;2.1
1978;IND;Mike Flynn;24;11.6;0.476;6;19.6;1.9
1978;IND;Adrian Dantley;21;23.4;0.587;11.1;10.2;2.2
1978;BUF;Mike Glenn;22;14.3;0.553;4.5;12.6;1.7
1978;WSB;Phil Chenier;27;14.8;0.497;5.4;11.3;1.7
1978;WSB;Greg Ballard;23;14.1;0.484;14.1;8.8;1.4
1978;PHO;Mike Bratz;22;9.5;0.44;6.3;17.1;1.8
1978;ATL;Tony Robertson;22;10.6;0.461;4.1;16.8;3.7
1978;CHI;Mark Landsberger;22;14.5;0.539;17.7;6.3;1.1
1978;BOS;Curtis Rowe;28;9.7;0.5;11.3;6.6;0.7
1978;PHO;Bayard Forrest;23;12.2;0.478;14.5;17.8;1.1
1978;BUF;Larry McNeill;27;16;0.543;11.5;7.5;0.9
1978;DEN;Tom LaGarde;22;8.2;0.505;12.7;6.9;0.9
1978;BOS;Kermit Washington;26;19.3;0.582;19.7;6.7;1.5
1978;NJN;Kim Hughes;25;6.8;0.356;13.6;5.4;2.5
1978;GSW;Ricky Marsh;23;8.4;0.443;4.5;13.9;1.5
1978;HOU;Rudy Tomjanovich;29;17.1;0.513;8.6;5.9;0.8
1978;DET;Jim Price;28;13.5;0.478;6.3;17.1;2.4
1978;CLE;Terry Furlow;23;15.5;0.485;6.5;13.5;1.2
1978;PHO;Curtis Perry;29;11.8;0.499;15.7;7.3;1.8
1978;GSW;Nate Williams;27;15;0.47;7.1;7.8;2
1978;SEA;Slick Watts;26;9.3;0.423;5.1;22.4;3
1978;WSB;Charles Johnson;28;10.3;0.44;5.7;14;1.7
1978;DET;Gus Gerard;24;13.2;0.47;9.5;7.8;1.9
1978;KCK;Bob Nash;27;16.2;0.544;10.8;8.1;1.5
1978;HOU;Alonzo Bradley;24;9;0.459;6.6;9.3;0.9
1978;CHI;Cazzie Russell;33;11.6;0.479;5.7;11.5;1.1
1978;NOJ;Slick Watts;26;12.7;0.423;6.1;27.3;3.1
1978;POR;T.R. Dunn;22;11.7;0.448;10;7.6;2.8
1978;LAL;Kermit Washington;26;15.1;0.492;19;5;1.1
1978;PHI;Harvey Catchings;26;11.2;0.43;16.9;5.5;1.2
1978;DEN;Darnell Hillman;28;12.1;0.525;16.4;9.4;0.8
1978;DET;Ralph Simpson;28;11.7;0.454;5.8;16.8;1.9
1978;LAL;Kenny Carr;22;9.2;0.476;14.5;4.7;1.1
1978;BUF;Ted McClain;31;10.5;0.501;5.5;22.6;2.7
1978;LAL;James Edwards;22;14.3;0.499;12.7;5.4;1
1978;CHI;Tate Armstrong;22;11.1;0.487;5.2;15.7;1.5
1978;BOS;Don Chaney;31;8.2;0.43;7.6;9.3;2.3
1978;CHI;Steve Sheppard;23;11.5;0.48;10.2;9.2;0.9
1978;BUF;Jim McDaniels;29;10.2;0.467;14;8.8;0.3
1978;LAL;Dave Robisch;28;12.6;0.465;13.5;7.5;1.3
1978;BUF;Bird Averitt;25;11.5;0.476;4;28.2;1.5
1978;LAL;Earl Tatum;24;15.9;0.516;6.9;14.8;2.5
1978;CLE;Dick Snyder;33;12;0.5;3.8;12;1.6
1978;NYK;Phil Jackson;32;8.1;0.548;8.7;8.1;2.1
1978;HOU;C.J. Kupec;25;10;0.461;7.7;10.5;0.8
1978;DET;Ben Poquette;22;10.6;0.461;12.2;4.3;0.7
1978;IND;Bob Carrington;24;12.1;0.545;4.9;13.7;1.6
1978;CHI;Nick Weatherspoon;27;10.5;0.492;11.1;7.5;1.5
1978;IND;Dave Robisch;28;13;0.469;14.1;10.6;1.5
1978;BUF;John Shumate;25;14.2;0.576;11.6;13.4;1.1
1978;DEN;Ralph Simpson;28;8.1;0.357;6.6;16;3.3
1978;DET;Al Eberhard;25;10;0.49;9.3;5.9;1
1978;ATL;Ron Behagen;27;15.9;0.509;16.5;9.4;2.4
1978;BUF;Scott Lloyd;25;9.6;0.482;11.3;8.3;0.9
1978;CHI;Cliff Pondexter;23;11.6;0.469;13.3;21.1;1.7
1978;NJN;Wilson Washington;22;11.9;0.506;13.2;2.4;1.4
1978;ATL;Ken Charles;26;11.1;0.456;2.5;22.5;2.2
1978;SAS;Mo Layton;29;11.6;0.524;3.4;27.5;1.9
1978;GSW;Charles Johnson;28;11.8;0.416;6.4;13.8;2.9
1978;KCK;Kevin Restani;26;8.7;0.441;10.4;5.8;0.5
1978;GSW;Wesley Cox;23;11.7;0.452;16;3.5;2.1
1978;NOJ;Gus Bailey;26;11.8;0.46;8.8;11.6;1.8
1978;IND;Steve Green;24;9.9;0.495;7.7;8.8;1.4
1978;WSB;Joe Pace;24;13.7;0.528;15.1;7;1.2
1978;NOJ;Nate Williams;27;14.4;0.458;10;11.3;2.1
1978;PHO;Greg Griffin;25;6.8;0.392;12.6;7.1;1.6
1978;NJN;Bird Averitt;25;8.2;0.419;3.9;23;1.8
1978;SEA;Joe Hassett;22;11.9;0.457;4.5;15.7;2.4
1978;NOJ;Fred Saunders;26;11.8;0.496;8.9;12;1.6
1978;WSB;Phil Walker;21;9;0.438;6.7;18.6;1.6
1978;DEN;Robert Smith;22;10.9;0.562;4.9;13.5;2.1
1978;NOJ;Freddie Boyd;27;7.7;0.426;2.5;16.9;1.1
1978;NJN;Louie Nelson;26;14;0.463;6.7;12.5;2.5
1978;POR;Willie Norwood;30;6.6;0.461;9.6;6.9;2.4
1978;NJN;Robert Hawkins;23;13.3;0.501;7.1;15.6;2.8
1978;LAL;Brad Davis;22;10.5;0.484;5.4;29.1;2
1978;LAL;Ernie DiGregorio;27;7.1;0.45;3.5;26.1;0.8
1978;SAS;James Silas;28;13.3;0.565;3.9;14.9;1.6
1978;PHI;Ted McClain;31;9.3;0.453;6.4;15;2.4
1978;IND;Mel Bennett;23;7.6;0.367;15.9;9.6;1.7
1978;NJN;Al Skinner;25;13.3;0.503;9.1;16;2
1978;BOS;Ernie DiGregorio;27;10.1;0.462;5;34;2
1978;GSW;Derrek Dickey;26;14;0.495;9.1;5.9;1.7
1978;DET;Marvin Barnes;25;13;0.459;17.8;10.1;1.2
1978;DET;Willie Norwood;30;10.4;0.464;10.9;7.1;2.2
1978;SAS;Jim Eakins;31;11.1;0.665;9.6;8.1;0.5
1978;SEA;Mike Green;26;14.2;0.532;11.2;5.7;1.1
1978;BOS;Fred Saunders;26;4.1;0.376;7.7;6;1.3
1978;CHI;Tom Boerwinkle;32;10.3;0.503;14.2;26.1;0.6
